objectid,title,creator,date,color,description,subject,extent,size,medium,frame status,mat status,source,identifier,format,rights,rightsstatement,available,display_template,object_location,filename,image_small,image_thumb,image_alt_text,dominant color,Copies,Location,Donor if know,type,display_template
artloanprogram_00041,The Mother,"Gross, Chaim",1967,no,Woman and three girls,woman ; figures ; modernist,16 3/8 x 20 1/8,medium,lithograph,Not Framed,Not Matted,"Art Loan, box 2, item 2",artloan_b2_0002,image/jpg,,,yes,image,/objects/artloan_b2_0002.jpg,artloan_b2_0002.jpg,/objects/small/artloan_b2_0002_sm.jpg,/objects/thumbs/artloan_b2_0002_th.jpg,,black,,CC3_FF_Drawer7,,,
artloanprogram_00042,Woman and Bird,NMKKN,,no,Leda and the Swan,women ; birds ; literary,14 7/8 x 21 4/8,medium,drypoint,Not Framed,Matted,"Art Loan, box 2, item 3",artloan_b2_0003,image/jpg,,,yes,image,/objects/artloan_b2_0003.jpg,artloan_b2_0003.jpg,/objects/small/artloan_b2_0003_sm.jpg,/objects/thumbs/artloan_b2_0003_th.jpg,,gray,,CC3_FF_Box2,,,
artloanprogram_00043,Vue de la Porte de la fenetre,Lemoine,,no,view of a castle from a window,landscape ; expressionist,21 7/8 x 15,medium,woodblock print,Not Framed,Not Matted,"Art Loan, box 2, item 4",artloan_b2_0004,image/jpg,,,yes,image,/objects/artloan_b2_0004.jpg,artloan_b2_0004.jpg,/objects/small/artloan_b2_0004_sm.jpg,/objects/thumbs/artloan_b2_0004_th.jpg,,black,,CC3_FF_Drawer7,,,
artloanprogram_00044,Huy/Meuse,Ole Geowarzei,,no,Town over river,water ; landscape ; realist,19 2/8 x 15 3/8,medium,etching,Not Framed,Not Matted,"Art Loan, box 2, item 5",artloan_b2_0005,image/jpg,,,yes,image,/objects/artloan_b2_0005.jpg,artloan_b2_0005.jpg,/objects/small/artloan_b2_0005_sm.jpg,/objects/thumbs/artloan_b2_0005_th.jpg,,black,,CC3_FF_Drawer7,,,
artloanprogram_00045,Running Woman,NMKKN,,no,Woman chased by ram,women ; figures ; modernist ; literary,15 x 22 3/8,medium,drypoint,Not Framed,Not Matted,"Art Loan, box 2, item 6",artloan_b2_0006,image/jpg,,,yes,image,/objects/artloan_b2_0006.jpg,artloan_b2_0006.jpg,/objects/small/artloan_b2_0006_sm.jpg,/objects/thumbs/artloan_b2_0006_th.jpg,,black,,CC3_FF_Box2,,,
artloanprogram_00046,Bodies,"Rodin, Auguste",,no,"reproduction print, figures in motion",figures ; realist,19 1/8 x 14 7/8,medium,photomechanical reproduction,Not Framed,Not Matted,"Art Loan, box 2, item 7",artloan_b2_0007,image/jpg,,,yes,image,/objects/artloan_b2_0007.jpg,artloan_b2_0007.jpg,/objects/small/artloan_b2_0007_sm.jpg,/objects/thumbs/artloan_b2_0007_th.jpg,,gray,,CC3_FF_Drawer7,,,
artloanprogram_00047,Sawley Abbey First Pub: State,"Hayden, Seymour",1873,no,Landscape of grazing cows by a river with city in the background,landscape ; animals ; water,12 2/8 x 17 4/8,medium,etching,Not Framed,Not Matted,"Art Loan, box 2, item 8",artloan_b2_0008,image/jpg,,,yes,image,/objects/artloan_b2_0008.jpg,artloan_b2_0008.jpg,/objects/small/artloan_b2_0008_sm.jpg,/objects/thumbs/artloan_b2_0008_th.jpg,,black,,CC3_FF_Drawer7,,,
artloanprogram_00048,Beach Club,Ulman,1955,no,Geometric drawing of people sitting under beach umbrellas,figures ; leisure ; realist,28 7/8 x 23 4/8,medium,etching,Not Framed,Matted,"Art Loan, box 2, item 9",artloan_b2_0009,image/jpg,,,yes,image,/objects/artloan_b2_0009.jpg,artloan_b2_0009.jpg,/objects/small/artloan_b2_0009_sm.jpg,/objects/thumbs/artloan_b2_0009_th.jpg,,black,,CC3_FF_Box2,,,
artloanprogram_00049,Ink Drawing,A. Preisecku ?,1966,no,Dark organic abstraction,abstract ; modernist,24 7/8 x 21,medium,ink and paint,Not Framed,Matted,"Art Loan, box 2, item 10",artloan_b2_0010,image/jpg,,,yes,image,/objects/artloan_b2_0010.jpg,artloan_b2_0010.jpg,/objects/small/artloan_b2_0010_sm.jpg,/objects/thumbs/artloan_b2_0010_th.jpg,,black,,CC3_FF_Drawer7,,,
artloanprogram_00050,Masked Man,Collins,,yes,Masked man walking with hunch,figures ; modernist,24 x 19 2/8,medium,lithograph,Not Framed,Not Matted,"Art Loan, box 2, item 11",artloan_b2_0011,image/jpg,,,yes,image,/objects/artloan_b2_0011.jpg,artloan_b2_0011.jpg,/objects/small/artloan_b2_0011_sm.jpg,/objects/thumbs/artloan_b2_0011_th.jpg,,orange,,CC3_FF_Drawer7,,,
artloanprogram_00051,Procession,Unknown,,no,Funeral procession,figures ; modernist,11 6/8 x 15 5/8,medium,photomechanical reproduction of wood block,Not Framed,Not Matted,"Art Loan, box 2, item 12",artloan_b2_0012,image/jpg,,,yes,image,/objects/artloan_b2_0012.jpg,artloan_b2_0012.jpg,/objects/small/artloan_b2_0012_sm.jpg,/objects/thumbs/artloan_b2_0012_th.jpg,,black,,CC3_FF_Drawer7,,,
artloanprogram_00052,Diogene,"Verneau, Eugène",,no,Dapper men,figures ; literary,19 6/8 x 26,medium,lithograph,Not Framed,Not Matted,"Art Loan, box 2, item 13",artloan_b2_0013,image/jpg,,,yes,image,/objects/artloan_b2_0013.jpg,artloan_b2_0013.jpg,/objects/small/artloan_b2_0013_sm.jpg,/objects/thumbs/artloan_b2_0013_th.jpg,,black,,CC3_FF_Drawer7,,,
artloanprogram_00053,Abstract,Unknown,,yes,surrealist ink and watercolor,abstract ; figures ; modernist,15 x 22,medium,watercolor and ink,Not Framed,Not Matted,"Art Loan, box 2, item 14",artloan_b2_0014,image/jpg,,,yes,image,/objects/artloan_b2_0014.jpg,artloan_b2_0014.jpg,/objects/small/artloan_b2_0014_sm.jpg,/objects/thumbs/artloan_b2_0014_th.jpg,,multicolor,,CC3_FF_Drawer7,,,
artloanprogram_00054,Poster,"Beckman, Max",1966,no,Reproduction poster advertising exhibition and featuring self-portrait of Max Beckman,portrait ; modernist,26 7/8 x 18 7/8,medium,photomechanical reproduction,Not Framed,Not Matted,"Art Loan, box 3, item 1",artloan_b3_0001,image/jpg,,,yes,image,/objects/artloan_b3_0001.jpg,artloan_b3_0001.jpg,/objects/small/artloan_b3_0001_sm.jpg,/objects/thumbs/artloan_b3_0001_th.jpg,,black,,CC3_FF_Box2,,,
artloanprogram_00055,"Young Woman at Window, Holding a Child","Robert, Hubert",,no,Window with mother and child,figures ; women ; romanticist,15 5/8 x 12 5/8,medium,lithograph,Not Framed,Not Matted,"Art Loan, box 3, item 2",artloan_b3_0002,image/jpg,,,yes,image,/objects/artloan_b3_0002.jpg,artloan_b3_0002.jpg,/objects/small/artloan_b3_0002_sm.jpg,/objects/thumbs/artloan_b3_0002_th.jpg,,black,,CC3_FF_Drawer1,,,
artloanprogram_00057,Tree Through Window,"Giddings, Glenn W.",1987,no,Window with tree,trees,17 x 11 6/8,medium,woodblock on ricepaper,Not Framed,Not Matted,"Art Loan, box 3, item 4",artloan_b3_0004,image/jpg,,,yes,image,/objects/artloan_b3_0004.jpg,artloan_b3_0004.jpg,/objects/small/artloan_b3_0004_sm.jpg,/objects/thumbs/artloan_b3_0004_th.jpg,,black,,,,,
artloanprogram_00058,Dancer,"Anderson, Katherine",1990,no,"Women dancing through dark passage, spotlights",women ; figures ; modernist,9 7/8 x 7,small,lithograph,Not Framed,Not Matted,"Art Loan, box 3, item 5",artloan_b3_0005,image/jpg,,,yes,image,/objects/artloan_b3_0005.jpg,artloan_b3_0005.jpg,/objects/small/artloan_b3_0005_sm.jpg,/objects/thumbs/artloan_b3_0005_th.jpg,,black,,,,,
artloanprogram_00059,Abstract Sun,"Harrison, Natalie",1987,no,Abstract landscape,abstract ; nature,17 7/8 x 24,medium,linocut,Not Framed,Not Matted,"Art Loan, box 3, item 6",artloan_b3_0006,image/jpg,,,yes,image,/objects/artloan_b3_0006.jpg,artloan_b3_0006.jpg,/objects/small/artloan_b3_0006_sm.jpg,/objects/thumbs/artloan_b3_0006_th.jpg,,black,,CC3_FF_Drawer7,,,
artloanprogram_00060,Hands with Cards,Pacher,1951,yes,Cloaked person,figures,28 2/8 x 18 1/8,medium,,Not Framed,Matted,"Art Loan, box 3, item 7",artloan_b3_0007,image/jpg,,,yes,image,/objects/artloan_b3_0007.jpg,artloan_b3_0007.jpg,/objects/small/artloan_b3_0007_sm.jpg,/objects/thumbs/artloan_b3_0007_th.jpg,,blue,,trash,,,
artloanprogram_00061,My Room- Bright Night,"Schuag, Karl",1993,no,Window with flowers,interior ; flowers,28 2/8 x 17 6/8,medium,lithograph,Not Framed,Not Matted,"Art Loan, box 3, item 8",artloan_b3_0008,image/jpg,,,yes,image,/objects/artloan_b3_0008.jpg,artloan_b3_0008.jpg,/objects/small/artloan_b3_0008_sm.jpg,/objects/thumbs/artloan_b3_0008_th.jpg,,black,,CC3_FF_Box2,,,
artloanprogram_00062,River,"Levine, J.",1995-04,no,Trees by river,trees ; nature ; landscape ; realist,22 4/8 x 23 7/8,medium,lithograph,Not Framed,Not Matted,"Art Loan, box 3, item 9",artloan_b3_0009,image/jpg,,,yes,image,/objects/artloan_b3_0009.jpg,artloan_b3_0009.jpg,/objects/small/artloan_b3_0009_sm.jpg,/objects/thumbs/artloan_b3_0009_th.jpg,,black,,CC3_FF_Box2,,,
artloanprogram_00063,Coney Island,"Segalman, Richard",2008,yes,Woman and people at the ocean,figures ; seascape ; women ; modernist,22 4/8 x 25 2/8,medium,color lithograph,Not Framed,Not Matted,"Art Loan, box 3, item 10",artloan_b3_0010,image/jpg,,,yes,image,/objects/artloan_b3_0010.jpg,artloan_b3_0010.jpg,/objects/small/artloan_b3_0010_sm.jpg,/objects/thumbs/artloan_b3_0010_th.jpg,,blue,,CC3_FF_Box2,,,
artloanprogram_00064,The Window,"A., M.",,no,Hallway to the outdoors,interior ; realist,28 7/8 x 18 7/8,medium,lithograph,Not Framed,Matted,"Art Loan, box 3, item 11",artloan_b3_0011,image/jpg,,,yes,image,/objects/artloan_b3_0011.jpg,artloan_b3_0011.jpg,/objects/small/artloan_b3_0011_sm.jpg,/objects/thumbs/artloan_b3_0011_th.jpg,,brown,,CC3_FF_Box2,,,
